Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction
381,-192,-2624,-1055,5.01,1.1913,959,Up
959,381,-192,-2624,-1055,1.2965,1032,Up
1032,959,381,-192,-2624,1.4112,-623,Down
-623,1032,959,381,-192,1276,614,Up
614,-623,1032,959,381,1.2057,213,Up
213,614,-623,1032,959,1.3491,1392,Up
1392,213,614,-623,1032,1445,-403,Down
-403,1392,213,614,-623,1.4078,27,Up
27,-403,1392,213,614,1164,1303,Up
1303,27,-403,1392,213,1.2326,287,Up
287,1303,27,-403,1392,1309,-498,Down
-498,287,1303,27,-403,1258,-189,Down
-189,-498,287,1303,27,1098,0.68,Up
0.68,-189,-498,287,1303,1.0531,701,Up
701,0.68,-189,-498,287,1.1498,-562,Down
-562,701,0.68,-189,-498,1.2953,546,Up
546,-562,701,0.68,-189,1.1188,-1747,Down
-1747,546,-562,701,0.68,1.0484,359,Up
359,-1747,546,-562,701,1013,-151,Down
-151,359,-1747,546,-562,1.0596,-841,Down
-841,-151,359,-1747,546,1.1583,-623,Down
-623,-841,-151,359,-1747,1.1072,-1334,Down
-1334,-623,-841,-151,359,1.0755,1183,Up
1183,-1334,-623,-841,-151,1.0391,-865,Down
-865,1183,-1334,-623,-841,1.0752,-218,Down
-218,-865,1183,-1334,-623,1.1503,812,Up
812,-218,-865,1183,-1334,1.1537,-1891,Down
-1891,812,-218,-865,1183,1.2572,-1736,Down
-1736,-1891,812,-218,-865,1.1122,-1851,Down
-1851,-1736,-1891,812,-218,1.2085,-195,Down
-195,-1851,-1736,-1891,812,1.3659,-556,Down
-556,-195,-1851,-1736,-1891,1.2313,1749,Up
1749,-556,-195,-1851,-1736,1.1308,-766,Down
-766,1749,-556,-195,-1851,1.1141,-1431,Down
-1431,-766,1749,-556,-195,1.2253,104,Up
104,-1431,-766,1749,-556,1.2949,-568,Down
-568,104,-1431,-766,1749,1294,586,Up
586,-568,104,-1431,-766,0.9292,998,Up
998,586,-568,104,-1431,1.0918,645,Up
645,998,586,-568,104,1.1322,226,Up
226,645,998,586,-568,1.1141,-2476,Down
-2476,226,645,998,586,1.0859,-4318,Down
-4318,-2476,226,645,998,1229,1483,Up
1483,-4318,-2476,226,645,1.3609,-2584,Down
-2584,1483,-4318,-2476,226,1.3974,587,Up
587,-2584,1483,-4318,-2476,1.2595,-1962,Down
-1962,587,-2584,1483,-4318,1.54356,1763,Up
1763,-1962,587,-2584,1483,1.1262,-2408,Down
-2408,1763,-1962,587,-2584,1.2359,-1792,Down
-1792,-2408,1763,-1962,587,1.3463,-406,Down
-406,-1792,-2408,1763,-1962,1.72395,1991,Up
1991,-406,-1792,-2408,1763,1.3649,1128,Up
1128,1991,-406,-1792,-2408,1114,2557,Up
2557,1128,1991,-406,-1792,1.3142,-2443,Down
-2443,2557,1128,1991,-406,1.3334,-463,Down
-463,-2443,2557,1128,1991,1.2345,1078,Up
1078,-463,-2443,2557,1128,1.2808,-1246,Down
-1246,1078,-463,-2443,2557,1.2549,-3439,Down
-3439,-1246,1078,-463,-2443,1.3861,-0.29,Down
-0.29,-3439,-1246,1078,-463,1.42559,4368,Up
4368,-0.29,-3439,-1246,1078,1368,-1998,Down
-1998,4368,-0.29,-3439,-1246,1.2668,812,Up
812,-1998,4368,-0.29,-3439,1.0628,2707,Up
2707,812,-1998,4368,-0.29,1.3496,-213,Down
-213,2707,812,-1998,4368,1.2903,1.51,Up
1.51,-213,2707,812,-1998,1102,-323,Down
-323,1.51,-213,2707,812,0.9139,1028,Up
1028,-323,1.51,-213,2707,1.1096,3889,Up
3889,1028,-323,1.51,-213,1.9189,1254,Up
1254,3889,1028,-323,1.51,1.4868,-854,Down
-854,1254,3889,1028,-323,1.3387,-1498,Down
-1498,-854,1254,3889,1028,1.0126,-1216,Down
-1216,-1498,-854,1254,3889,1.2165,1594,Up
1594,-1216,-1498,-854,1254,1.2036,0.47,Up
0.47,1594,-1216,-1498,-854,1.3452,1501,Up
1501,0.47,1594,-1216,-1498,1.0913,-287,Down
-287,1501,0.47,1594,-1216,1.2668,1359,Up
1359,-287,1501,0.47,1594,1.1813,78,Up
78,1359,-287,1501,0.47,1.3422,-1487,Down
-1487,78,1359,-287,1501,1.1379,1444,Up
1444,-1487,78,1359,-287,1.0821,-245,Down
-245,1444,-1487,78,1359,949,-183,Down
-183,-245,1444,-1487,78,1.0063,-449,Down
-449,-183,-245,1444,-1487,1.1324,-29,Down
-29,-449,-183,-245,1444,1.0567,-758,Down
-758,-29,-449,-183,-245,0.9062,261,Up
261,-758,-29,-449,-183,0.8582,42,Up
42,261,-758,-29,-449,1.0718,2845,Up
2845,42,261,-758,-29,1.4053,272,Up
272,2845,42,261,-758,1.3556,269,Up
269,272,2845,42,261,1.1308,1615,Up
1615,269,272,2845,42,1.1749,-263,Down
-263,1615,269,272,2845,1.2604,-1553,Down
-1553,-263,1615,269,272,1.1348,0.32,Up
0.32,-1553,-263,1615,269,1.1007,-1182,Down
-1182,0.32,-1553,-263,1615,0.8281,-779,Down
-779,-1182,0.32,-1553,-263,1026,-1566,Down
-1566,-779,-1182,0.32,-1553,1.1586,0.62,Up
0.62,-1566,-779,-1182,0.32,1.2266,386,Up
386,0.62,-1566,-779,-1182,1015,511,Up
511,386,0.62,-1566,-779,0.8365,1299,Up
1299,511,386,0.62,-1566,1.1168,-1055,Down
-1055,1299,511,386,0.62,1.0619,546,Up
546,-1055,1299,511,386,1.0896,-0.94,Down
-0.94,546,-1055,1299,511,0.7262,-836,Down
-836,-0.94,546,-1055,1299,0.8701,116,Up
116,-836,-0.94,546,-1055,1.1365,-1135,Down
-1135,116,-836,-0.94,546,1.0636,-1.75,Down
-1.75,-1135,116,-836,-0.94,1.2429,-452,Down
-452,-1.75,-1135,116,-836,1.63555,-488,Down
-488,-452,-1.75,-1135,116,1.1116,343,Up
343,-488,-452,-1.75,-1135,1.1849,871,Up
871,343,-488,-452,-1.75,1.3501,1136,Up
1136,871,343,-488,-452,1.54682,-945,Down
-945,1136,871,343,-488,1.1892,-551,Down
-551,-945,1136,871,343,1.0501,-151,Down
-151,-551,-945,1136,871,1.1989,-468,Down
-468,-151,-551,-945,1136,1.1621,1249,Up
1249,-468,-151,-551,-945,1.3273,-148,Down
-148,1249,-468,-151,-551,1.83236,1008,Up
1008,-148,1249,-468,-151,1.1283,-184,Down
-184,1008,-148,1249,-468,0.62211,-1232,Down
-1232,-184,1008,-148,1249,0.9349,-2.35,Down
-2.35,-1232,-184,1008,-148,1.0567,688,Up
688,-2.35,-1232,-184,1008,1.0457,-1.44,Down
-1.44,688,-2.35,-1232,-184,1.2638,-113,Down
-113,-1.44,688,-2.35,-1232,1.3841,2369,Up
2369,-113,-1.44,688,-2.35,1394,624,Up
624,2369,-113,-1.44,688,1.1217,-1088,Down
-1088,624,2369,-113,-1.44,1.0398,997,Up
997,-1088,624,2369,-113,1.2381,-554,Down
-554,997,-1088,624,2369,1.3163,605,Up
605,-554,997,-1088,624,1.3435,-343,Down
-343,605,-554,997,-1088,1.1709,-1637,Down
-1637,-343,605,-554,997,0.9869,-1627,Down
-1627,-1637,-343,605,-554,1.1987,1608,Up
1608,-1627,-1637,-343,605,1.2807,1045,Up
1045,1608,-1627,-1637,-343,1.2139,0.24,Up
0.24,1045,1608,-1627,-1637,1.0153,-108,Down
-108,0.24,1045,1608,-1627,0.9091,557,Up
557,-108,0.24,1045,1608,1.1292,388,Up
388,557,-108,0.24,1045,1.3403,396,Up
396,388,557,-108,0.24,1.2183,-524,Down
-524,396,388,557,-108,0.9399,-1142,Down
-1142,-524,396,388,557,0.8117,327,Up
327,-1142,-524,396,388,1012,-1733,Down
-1733,327,-1142,-524,396,1.1246,-8,Down
-8,-1733,327,-1142,-524,1.1042,569,Up
569,-8,-1733,327,-1142,0.9609,95,Up
95,569,-8,-1733,327,0.8376,-383,Down
-383,95,569,-8,-1733,0.9646,-734,Down
-734,-383,95,569,-8,1.0656,309,Up
309,-734,-383,95,569,1.0554,-1666,Down
-1666,309,-734,-383,95,0.9743,812,Up
812,-1666,309,-734,-383,0.8971,-1208,Down
-1208,812,-1666,309,-734,1.0416,696,Up
696,-1208,812,-1666,309,1.1108,-276,Down
-276,696,-1208,812,-1666,0.9862,1965,Up
1965,-276,696,-1208,812,1.0436,-483,Down
-483,1965,-276,696,-1208,0.8426,-1501,Down
-1501,-483,1965,-276,696,0.9871,-1115,Down
-1115,-1501,-483,1965,-276,0.9637,-1.7,Down
-1.7,-1115,-1501,-483,1965,1157,403,Up
403,-1.7,-1115,-1501,-483,0.9201,-56,Down
-56,403,-1.7,-1115,-1501,1.1783,-106,Down
-106,-56,403,-1.7,-1115,1.3845,-2239,Down
-2239,-106,-56,403,-1.7,1.3597,-1864,Down
-1864,-2239,-106,-56,403,1.4243,623,Up
623,-1864,-2239,-106,-56,1.2766,-4922,Down
-4922,623,-1864,-2239,-106,2.33083,-0.58,Down
-0.58,-4922,623,-1864,-2239,1.65041,-1611,Down
-1611,-0.58,-4922,623,-1864,2.12055,-3106,Down
-3106,-1611,-0.58,-4922,623,2.0048,-1903,Down
-1903,-3106,-1611,-0.58,-4922,2.3173,3898,Up
3898,-1903,-3106,-1611,-0.58,1.7466,879,Up
879,3898,-1903,-3106,-1611,1.6138,-517,Down
-517,879,3898,-1903,-3106,1.5191,1149,Up
1149,-517,879,3898,-1903,1467,2192,Up
2192,1149,-517,879,3898,1.6315,-0.23,Down
-0.23,2192,1149,-517,879,1.1756,1231,Up
1231,-0.23,2192,1149,-517,1.2898,1993,Up
1993,1231,-0.23,2192,1149,1.6506,-247,Down
-247,1993,1231,-0.23,2192,1.6091,164,Up
164,-247,1993,1231,-0.23,1.3017,-834,Down
-834,164,-247,1993,1231,979,-536,Down
-536,-834,164,-247,1993,1.2278,2294,Up
2294,-536,-834,164,-247,1.3124,1521,Up
1521,2294,-536,-834,164,1.70458,-527,Down
-527,1521,2294,-536,-834,1.3314,-153,Down
-153,-527,1521,2294,-536,1.0247,694,Up
694,-153,-527,1521,2294,1.2105,-1863,Down
-1863,694,-153,-527,1521,1.4522,-787,Down
-787,-1863,694,-153,-527,1.2629,456,Up
456,-787,-1863,694,-153,1.2949,1.53,Up
1.53,456,-787,-1863,694,1.1057,-0.47,Down
-0.47,1.53,456,-787,-1863,1.3173,39,Up
39,-0.47,1.53,456,-787,1.3362,1372,Up
1372,39,-0.47,1.53,456,1.3644,411,Up
411,1372,39,-0.47,1.53,1.2445,-2382,Down
-2382,411,1372,39,-0.47,1.1061,-1717,Down
-1717,-2382,411,1372,39,1.2974,-1,Down
-1,-1717,-2382,411,1372,1.3525,2295,Up
2295,-1,-1717,-2382,411,1.3174,286,Up
286,2295,-1,-1717,-2382,1.1219,1439,Up
1439,286,2295,-1,-1717,1.2677,1453,Up
1453,1439,286,2295,-1,1356,-273,Down
-273,1453,1439,286,2295,1.4113,246,Up
246,-273,1453,1439,286,1.5175,158,Up
158,246,-273,1453,1439,1.0938,-177,Down
-177,158,246,-273,1453,0.9916,1856,Up
1856,-177,158,246,-273,1.3701,186,Up
186,1856,-177,158,246,1.4434,0.09,Up
0.09,186,1856,-177,158,1.4545,-314,Down
-314,0.09,186,1856,-177,1.3374,1.09,Up
1.09,-314,0.09,186,1856,1.3168,-0.73,Down
-0.73,1.09,-314,0.09,186,1.3302,-493,Down
-493,-0.73,1.09,-314,0.09,1.0293,1171,Up
1171,-493,-0.73,1.09,-314,0.4103,615,Up
615,1171,-493,-0.73,1.09,1.1298,-684,Down
-684,615,1171,-493,-0.73,1288,-1825,Down
-1825,-684,615,1171,-493,1.4237,1035,Up
1035,-1825,-684,615,1171,1.3757,-66,Down
-66,1035,-1825,-684,615,1.3436,-838,Down
-838,-66,1035,-1825,-684,1.2029,1319,Up
1319,-838,-66,1035,-1825,1.3185,2232,Up
2232,1319,-838,-66,1035,1.7653,-278,Down
-278,2232,1319,-838,-66,1.4879,-753,Down
-753,-278,2232,1319,-838,1.2482,-1587,Down
-1587,-753,-278,2232,1319,1.2187,-278,Down
-278,-1587,-753,-278,2232,1.3672,27,Up
27,-278,-1587,-753,-278,1.4497,-1556,Down
-1556,27,-278,-1587,-753,1.5115,331,Up
331,-1556,27,-278,-1587,1.3068,1003,Up
1003,331,-1556,27,-278,1.2604,755,Up
755,1003,331,-1556,27,1354,581,Up
581,755,1003,331,-1556,1.4849,-838,Down
-838,581,755,1003,331,1.4905,435,Up
435,-838,581,755,1003,1694,-21,Down
-21,435,-838,581,755,0.43967,412,Up
412,-21,435,-838,581,0.7911,675,Up
675,412,-21,435,-838,0.8763,336,Up
336,675,412,-21,435,0.9174,-1115,Down
-1115,336,675,412,-21,0.9436,574,Up
574,-1115,336,675,412,1171,918,Up
918,574,-1115,336,675,1.3989,621,Up
621,918,574,-1115,336,1513,-0.65,Down
-0.65,621,918,574,-1115,1.3083,-359,Down
-359,-0.65,621,918,574,1.2588,-0.48,Down
-0.48,-359,-0.65,621,918,1452,122,Up
122,-0.48,-359,-0.65,621,1299,-947,Down
-947,122,-0.48,-359,-0.65,1.2119,-628,Down
-628,-947,122,-0.48,-359,1.2864,683,Up
683,-628,-947,122,-0.48,1.3869,-1625,Down
-1625,683,-628,-947,122,1.4825,1003,Up
1003,-1625,683,-628,-947,1.3801,-992,Down
-992,1003,-1625,683,-628,1.3333,-733,Down
-733,-992,1003,-1625,683,1.3116,792,Up
792,-733,-992,1003,-1625,1.4792,352,Up
352,792,-733,-992,1003,1.5528,0.1,Up
0.1,352,792,-733,-992,1.3451,-19,Down
-19,0.1,352,792,-733,1.1868,-2861,Down
-2861,-19,0.1,352,792,1812,1175,Up
1175,-2861,-19,0.1,352,2.0196,1493,Up
1493,1175,-2861,-19,0.1,1557,-708,Down
-708,1493,1175,-2861,-19,1.3672,-2474,Down
-2474,-708,1493,1175,-2861,1.4376,-404,Down
-404,-2474,-708,1493,1175,1.7783,-597,Down
-597,-404,-2474,-708,1493,1.6658,-308,Down
-308,-597,-404,-2474,-708,1.4416,1486,Up
1486,-308,-597,-404,-2474,1.3719,1434,Up
1434,1486,-308,-597,-404,1.1594,-399,Down
-399,1434,1486,-308,-597,1.0942,994,Up
994,-399,1434,1486,-308,1.2159,-181,Down
-181,994,-399,1434,1486,1.2725,-1102,Down
-1102,-181,994,-399,1434,1.3592,-1887,Down
-1887,-1102,-181,994,-399,1.1899,1351,Up
1351,-1887,-1102,-181,994,1.4389,-1551,Down
-1551,1351,-1887,-1102,-181,1.3816,822,Up
822,-1551,1351,-1887,-1102,1411,1798,Up
1798,822,-1551,1351,-1887,1.3674,-5,Down
-5,1798,822,-1551,1351,1.3092,46,Up
46,-5,1798,822,-1551,1.3938,-285,Down
-285,46,-5,1798,822,1.3922,2263,Up
2263,-285,46,-5,1798,1.4565,1949,Up
1949,2263,-285,46,-5,1.5943,-667,Down
-667,1949,2263,-285,46,1.5493,1451,Up
1451,-667,1949,2263,-285,1.5413,-0.45,Down
-0.45,1451,-667,1949,2263,1.5174,585,Up
585,-0.45,1451,-667,1949,1412,339,Up
339,585,-0.45,1451,-667,1.2102,-229,Down
-229,339,585,-0.45,1451,1.3044,-986,Down
-986,-229,339,585,-0.45,1354,-91,Down
-91,-986,-229,339,585,1.2088,1138,Up
1138,-91,-986,-229,339,1.4939,-52,Down
-52,1138,-91,-986,-229,1.1695,407,Up
407,-52,1138,-91,-986,1255,-1576,Down
-1576,407,-52,1138,-91,1.3049,151,Up
151,-1576,407,-52,1138,1.3392,-424,Down
-424,151,-1576,407,-52,1.2433,-1465,Down
-1465,-424,151,-1576,407,1.0579,585,Up
585,-1465,-424,151,-1576,1.2236,535,Up
535,585,-1465,-424,151,1.1801,246,Up
246,535,585,-1465,-424,1.1476,-74,Down
-74,246,535,585,-1465,1.0509,-853,Down
-853,-74,246,535,585,1.1767,-999,Down
-999,-853,-74,246,535,1.2197,84,Up
84,-999,-853,-74,246,1.2838,-321,Down
-321,84,-999,-853,-74,1.1102,228,Up
228,-321,84,-999,-853,1.0953,-666,Down
-666,228,-321,84,-999,1.2354,1133,Up
1133,-666,228,-321,84,1.4479,-2369,Down
-2369,1133,-666,228,-321,1.5056,663,Up
663,-2369,1133,-666,228,1.2821,-761,Down
-761,663,-2369,1133,-666,1.1204,2342,Up
2342,-761,663,-2369,1133,1.3413,-204,Down
-204,2342,-761,663,-2369,1.3769,-142,Down
-142,-204,2342,-761,663,1.3593,62,Up
62,-142,-204,2342,-761,1185,-1541,Down
-1541,62,-142,-204,2342,1.1818,-0.62,Down
-0.62,-1541,62,-142,-204,1.3885,-0.71,Down
-0.71,-0.62,-1541,62,-142,1.3732,-152,Down
-152,-0.71,-0.62,-1541,62,1.5174,-1389,Down
-1389,-152,-0.71,-0.62,-1541,1.3742,-1.01,Down
-1.01,-1389,-152,-0.71,-0.62,1.3147,1077,Up
1077,-1.01,-1389,-152,-0.71,1.6286,886,Up
886,1077,-1.01,-1389,-152,1.4514,-175,Down
-175,886,1077,-1.01,-1389,1364,-1026,Down
-1026,-175,886,1077,-1.01,1.2845,-1934,Down
-1934,-1026,-175,886,1077,1.1226,-302,Down
-302,-1934,-1026,-175,886,1.3547,3.75,Up
3.75,-302,-1934,-1026,-175,1502,-1455,Down
-1455,3.75,-302,-1934,-1026,1153,-1679,Down
-1679,-1455,3.75,-302,-1934,1.1719,1855,Up
1855,-1679,-1455,3.75,-302,1.0886,2114,Up
2114,1855,-1679,-1455,3.75,1.4145,-566,Down
-566,2114,1855,-1679,-1455,1.4202,656,Up
656,-566,2114,1855,-1679,1.2566,761,Up
761,656,-566,2114,1855,1.2744,-1329,Down
-1329,761,656,-566,2114,0.9898,-1099,Down
-1099,-1329,761,656,-566,1.2005,569,Up
569,-1099,-1329,761,656,1.1363,1018,Up
1018,569,-1099,-1329,761,1.1929,-1209,Down
-1209,1018,569,-1099,-1329,0.8854,-855,Down
-855,-1209,1018,569,-1099,0.9965,-641,Down
-641,-855,-1209,1018,569,1.0818,-281,Down
-281,-641,-855,-1209,1018,1.2866,233,Up
233,-281,-641,-855,-1209,1.2773,-2.48,Down
-2.48,233,-281,-641,-855,1.3243,1,Up
1,-2.48,233,-281,-641,1.4666,885,Up
885,1,-2.48,233,-281,1.3001,-1976,Down
-1976,885,1,-2.48,233,1.6015,-157,Down
-157,-1976,885,1,-2.48,1.3413,312,Up
312,-157,-1976,885,1,1.2262,-1663,Down
-1663,312,-157,-1976,885,1.2124,657,Up
657,-1663,312,-157,-1976,1.79572,-1049,Down
-1049,657,-1663,312,-157,1.4055,-227,Down
-227,-1049,657,-1663,312,1549,2869,Up
2869,-227,-1049,657,-1663,1.2366,94,Up
94,2869,-227,-1049,657,1.1931,-1654,Down
-1654,94,2869,-227,-1049,1.3361,-1343,Down
-1343,-1654,94,2869,-227,1.3897,-1704,Down
-1704,-1343,-1654,94,2869,1.4972,362,Up
362,-1704,-1343,-1654,94,1.5526,-1.67,Down
-1.67,362,-1704,-1343,-1654,1.5137,-267,Down
-267,-1.67,362,-1704,-1343,2.01429,1758,Up
1758,-267,-1.67,362,-1704,1.9086,-83,Down
-83,1758,-267,-1.67,362,2117,-2139,Down
-2139,-83,1758,-267,-1.67,1.4255,-2123,Down
-2123,-2139,-83,1758,-267,1823,622,Up
622,-2123,-2139,-83,1758,1.5278,3673,Up
3673,622,-2123,-2139,-83,0.6994,-1218,Down
-1218,3673,622,-2123,-2139,1.1844,-2472,Down
-2472,-1218,3673,622,-2123,1.3489,-3396,Down
-3396,-2472,-1218,3673,622,1.8169,0.75,Up
0.75,-3396,-2472,-1218,3673,2.08048,-645,Down
-645,0.75,-3396,-2472,-1218,1.6074,-376,Down
-376,-645,0.75,-3396,-2472,2.5748,-1851,Down
-1851,-376,-645,0.75,-3396,1.8437,566,Up
566,-1851,-376,-645,0.75,2.5665,-2702,Down
-2702,566,-1851,-376,-645,1.7363,-3835,Down
-3835,-2702,566,-1851,-376,2.6541,-3291,Down
-3291,-3835,-2702,566,-1851,2.24806,-2702,Down
-2702,-3291,-3835,-2702,566,2.44102,5733,Up
5733,-2702,-3291,-3835,-2702,2.77556,-563,Down
-563,5733,-2702,-3291,-3835,2.4247,1688,Up
1688,-563,5733,-2702,-3291,1.7961,5408,Up
5408,1688,-563,5733,-2702,1.77865,425,Up
425,5408,1688,-563,5733,1.82609,979,Up
979,425,5408,1688,-563,2.04936,-2957,Down
-2957,979,425,5408,1688,1.6722,-2308,Down
-2308,-2957,979,425,5408,1.5381,-3.43,Down
-3.43,-2308,-2957,979,425,1.4255,2992,Up
2992,-3.43,-2308,-2957,979,1.5141,2001,Up
2001,2992,-3.43,-2308,-2957,1.4904,3272,Up
3272,2001,2992,-3.43,-2308,1.6467,351,Up
351,3272,2001,2992,-3.43,1.2949,-533,Down
-533,351,3272,2001,2992,1.0365,-2168,Down
-2168,-533,351,3272,2001,1.2977,4005,Up
4005,-2168,-533,351,3272,1.5338,1156,Up
1156,4005,-2168,-533,351,1.5051,-159,Down
-159,1156,4005,-2168,-533,1.2653,2361,Up
2361,-159,1156,4005,-2168,1.2998,-1396,Down
-1396,2361,-159,1156,4005,1.3085,1273,Up
1273,-1396,2361,-159,1156,1.3531,1405,Up
